name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Cooperstown, ND_RaceAsian",cz26804_RaceAsian,56960.0,85.1,0.0063,49624,0.4523,0.8449,0.7656,0.0727,0.2027
"Cooperstown, ND_RaceBlack",cz26804_RaceBlack,0,85.1,0,49624,0,0,0,0.0727,0.2027
"Cooperstown, ND_RaceWhite",cz26804_RaceWhite,57338.0,85.1,0.0075,49624,0.4662,0.8568,0.7667,0.0727,0.2027
"Cooperstown, ND_RaceHispanic",cz26804_RaceHispanic,0,85.1,0,49624,0,0,0,0.0727,0.2027
"Cooperstown, ND_RaceNativeAmerican",cz26804_RaceNativeAmerican,0,85.1,0,49624,0,0,0,0.0727,0.2027
"Center, KS_RaceAsian",cz29008_RaceAsian,55891.0,83.08,0.0032,50372,0.4675,0.91,0.8256,0.1062,0.2044
"Center, KS_RaceBlack",cz29008_RaceBlack,0,83.08,0,50372,0,0,0,0.1062,0.2044
"Center, KS_RaceWhite",cz29008_RaceWhite,56644.0,83.08,0.0036,50372,0.4907,0.9125,0.8209,0.1062,0.2044
"Center, KS_RaceHispanic",cz29008_RaceHispanic,0,83.08,0,50372,0,0,0,0.1062,0.2044
"Center, KS_RaceNativeAmerican",cz29008_RaceNativeAmerican,0,83.08,0,50372,0,0,0,0.1062,0.2044
"Sterling, CO_RaceAsian",cz28301_RaceAsian,50957.0,80.42,0.0137,43784,0.3737,0.8704,0.798,0.1463,0.1801
"Sterling, CO_RaceBlack",cz28301_RaceBlack,0,80.42,0,43784,0,0,0,0.1463,0.1801
"Sterling, CO_RaceWhite",cz28301_RaceWhite,54474.0,80.42,0.0109,43784,0.3883,0.8739,0.8115,0.1463,0.1801
"Sterling, CO_RaceHispanic",cz28301_RaceHispanic,38600.0,80.42,0.033,43784,0.2383,0.841,0.8169,0.1463,0.1801
"Sterling, CO_RaceNativeAmerican",cz28301_RaceNativeAmerican,0,80.42,0,43784,0,0,0,0.1463,0.1801
"Austin, MN_RaceAsian",cz21702_RaceAsian,51521.0,85.26,0.0058,51457,0.3219,0.8817,0.8432,0.1283,0.1829
